年,月,日,時,波高,週期,波向,風速,風向
2024,1,3,20,2.95,5.9,11.0,15.3,23.0
2024,1,3,21,3.07,6.0,11.0,17.1,18.0
2024,1,3,22,3.19,6.0,11.0,16.9,18.0
2024,1,3,23,3.34,5.8,0.0,17.5,19.0
2024,1,4,0,3.28,5.9,11.0,17.3,19.0
2024,1,4,1,3.52,6.3,0.0,16.8,27.0
2024,1,4,2,3.05,6.1,11.0,16.1,22.0
2024,1,4,3,2.9,5.7,22.0,16.1,22.0
2024,1,4,4,3.37,6.2,11.0,15.1,21.0
2024,1,4,5,2.81,5.5,22.0,13.9,24.0
2024,1,4,6,2.46,5.7,22.0,12.8,29.0
2024,1,4,7,2.34,5.7,22.0,11.3,29.0
2024,1,4,8,2.42,5.4,22.0,10.2,36.0
2024,1,4,9,1.96,5.5,11.0,9.3,35.0
2024,1,4,10,1.89,5.4,11.0,7.9,24.0
2024,1,4,11,1.99,5.7,0.0,7.6,17.0
2024,1,4,12,1.89,5.3,0.0,7.6,10.0
2024,1,4,13,1.74,5.4,0.0,8.7,3.0
2024,1,4,14,1.93,5.1,348.0,8.6,359.0
2024,1,4,15,1.89,5.0,0.0,9.4,355.0
2024,1,4,16,1.82,5.3,0.0,8.4,360.0
2024,1,4,17,1.6,5.1,0.0,7.8,356.0
2024,1,4,18,1.53,5.0,0.0,8.0,360.0
2024,1,4,19,1.51,5.0,0.0,7.7,4.0
2024,1,4,20,1.62,5.1,11.0,7.5,4.0
2024,1,4,21,1.41,5.1,0.0,6.0,7.0
2024,1,4,22,1.32,4.9,0.0,6.3,356.0
2024,1,4,23,1.18,4.9,0.0,5.6,1.0
2024,1,5,0,1.62,5.1,348.0,7.4,353.0
2024,1,5,1,1.73,5.4,0.0,7.2,352.0
2024,1,5,2,1.56,5.3,0.0,7.1,356.0
2024,1,5,3,1.57,5.3,0.0,5.8,360.0
2024,1,5,4,1.57,5.0,11.0,6.0,354.0
2024,1,5,5,1.51,5.2,0.0,5.5,348.0
2024,1,5,6,1.54,5.4,11.0,5.4,338.0
2024,1,5,7,1.1,4.9,11.0,4.6,348.0
2024,1,5,8,1.16,5.1,0.0,3.5,355.0
2024,1,5,9,1.09,4.9,11.0,3.6,346.0
2024,1,5,10,1.06,4.9,0.0,4.4,352.0
2024,1,5,11,1.11,4.9,0.0,5.2,357.0
2024,1,5,12,0.97,4.7,0.0,5.4,354.0
2024,1,5,13,0.87,4.8,0.0,5.9,351.0
2024,1,5,14,0.95,4.7,11.0,6.3,352.0
2024,1,5,15,1.19,4.9,22.0,5.0,348.0
2024,1,5,16,1.23,5.1,22.0,4.2,8.0
2024,1,5,17,1.01,4.9,22.0,4.2,15.0
2024,1,5,18,0.97,4.7,11.0,4.4,13.0
2024,1,5,19,0.83,4.7,22.0,4.5,21.0
2024,1,5,20,0.84,4.8,33.0,4.7,13.0
2024,1,5,21,0.75,4.6,22.0,5.5,23.0
2024,1,5,22,0.73,4.6,33.0,4.7,29.0
2024,1,5,23,0.76,4.8,22.0,4.1,36.0
2024,1,6,0,0.68,4.6,33.0,4.1,39.0
2024,1,6,1,0.64,4.6,22.0,4.3,37.0
2024,1,6,2,0.63,4.8,33.0,4.1,60.0
2024,1,6,3,0.63,4.7,33.0,4.9,32.0
2024,1,6,4,0.64,4.3,22.0,4.9,34.0
2024,1,6,5,0.71,4.8,22.0,5.6,29.0
2024,1,6,6,0.73,4.2,33.0,6.2,26.0
2024,1,6,7,0.72,4.2,22.0,6.2,22.0
2024,1,6,8,0.72,4.1,22.0,6.9,32.0
2024,1,6,9,0.7,4.0,33.0,6.5,20.0
2024,1,6,10,0.71,3.9,33.0,7.6,10.0
2024,1,6,11,0.91,4.0,11.0,7.8,12.0
2024,1,6,12,0.82,3.9,11.0,8.5,356.0
2024,1,6,13,0.94,4.0,22.0,9.2,355.0
2024,1,6,14,1.05,4.1,11.0,9.1,359.0
2024,1,6,15,1.28,4.4,33.0,10.0,5.0
2024,1,6,16,1.5,4.6,22.0,10.6,4.0
2024,1,6,17,1.69,4.9,22.0,11.0,10.0
2024,1,6,18,1.62,5.0,22.0,10.4,9.0
2024,1,6,19,1.7,5.0,22.0,9.7,13.0
2024,1,6,20,1.64,4.8,22.0,10.1,19.0
2024,1,6,21,1.52,4.9,22.0,9.5,20.0
2024,1,6,22,1.45,4.7,11.0,8.8,18.0
2024,1,6,23,1.67,5.0,22.0,10.1,18.0
2024,1,7,0,1.63,4.9,11.0,11.0,12.0
2024,1,7,1,1.75,5.0,11.0,12.4,20.0
2024,1,7,2,2.23,5.2,22.0,11.9,21.0
2024,1,7,3,2.4,5.8,22.0,12.7,17.0
2024,1,7,4,2.81,6.0,11.0,12.9,20.0
2024,1,7,5,2.43,5.6,33.0,13.1,22.0
2024,1,7,6,2.66,5.9,22.0,13.1,20.0
2024,1,7,7,2.69,5.6,22.0,13.2,24.0
2024,1,7,8,2.53,5.6,22.0,12.7,22.0
2024,1,7,9,2.63,5.5,22.0,12.5,26.0
2024,1,7,10,2.83,5.8,45.0,12.2,31.0
2024,1,7,11,2.61,5.6,33.0,12.3,23.0
2024,1,7,12,2.29,5.6,11.0,13.6,25.0
2024,1,7,13,2.57,5.4,22.0,13.8,19.0
2024,1,7,14,2.94,5.8,22.0,13.6,15.0
2024,1,7,15,2.49,5.7,22.0,13.9,19.0
2024,1,7,16,3.01,5.9,22.0,13.4,12.0
2024,1,7,17,2.97,5.9,22.0,13.2,14.0
2024,1,7,18,2.89,6.0,22.0,13.2,13.0
2024,1,7,19,2.87,5.9,22.0,12.7,14.0
2024,1,7,20,3.05,6.1,11.0,12.6,20.0
2024,1,7,21,2.92,6.0,22.0,12.9,31.0
2024,1,7,22,3.07,6.0,22.0,12.8,27.0
2024,1,7,23,2.63,5.9,11.0,11.3,27.0
2024,1,8,0,2.65,5.7,45.0,11.8,30.0
2024,1,8,1,2.55,5.8,22.0,11.4,30.0
2024,1,8,2,2.19,5.6,11.0,11.2,21.0
2024,1,8,3,1.95,5.5,11.0,10.7,21.0
2024,1,8,4,2.14,5.8,0.0,9.5,17.0
2024,1,8,5,2.26,5.8,348.0,8.7,12.0
2024,1,8,6,2.4,5.9,348.0,9.4,10.0
2024,1,8,7,2.52,5.9,0.0,9.3,14.0
2024,1,8,8,2.18,6.0,11.0,6.4,27.0
2024,1,8,9,2.25,5.7,22.0,7.4,20.0
2024,1,8,10,2.16,5.7,0.0,8.7,18.0
2024,1,8,11,1.85,5.3,33.0,7.2,32.0
2024,1,8,12,1.93,5.6,22.0,8.0,16.0
2024,1,8,13,1.74,5.4,11.0,7.0,12.0
2024,1,8,14,1.75,5.2,0.0,8.9,358.0
2024,1,8,15,1.76,5.1,0.0,10.1,4.0
2024,1,8,16,2.07,5.5,348.0,10.3,354.0
2024,1,8,17,2.11,5.5,348.0,11.2,358.0
2024,1,8,18,2.18,5.3,11.0,10.9,358.0
2024,1,8,19,2.43,5.7,11.0,10.8,4.0
2024,1,8,20,2.52,5.9,0.0,10.5,4.0
2024,1,8,21,2.4,6.1,0.0,10.4,14.0
2024,1,8,22,2.07,5.4,22.0,9.6,22.0
2024,1,8,23,1.88,5.3,11.0,9.2,15.0
2024,1,9,0,1.93,5.4,22.0,9.5,20.0
2024,1,9,1,1.87,5.2,11.0,9.2,21.0
2024,1,9,2,1.74,5.2,11.0,8.8,9.0
2024,1,9,3,1.52,5.3,11.0,8.5,4.0
2024,1,9,4,1.53,5.3,11.0,8.4,8.0
2024,1,9,5,1.7,5.1,11.0,9.4,1.0
2024,1,9,6,1.99,5.5,11.0,8.9,9.0
2024,1,9,7,1.71,5.4,0.0,9.0,19.0
2024,1,9,8,1.89,5.4,11.0,7.8,24.0
2024,1,9,9,1.69,5.2,22.0,8.4,8.0
2024,1,9,10,1.81,5.1,11.0,8.6,8.0
2024,1,9,11,1.78,5.0,22.0,8.5,9.0
2024,1,9,12,1.49,4.8,22.0,9.3,1.0
2024,1,9,13,1.41,4.5,33.0,9.2,360.0
2024,1,9,14,1.68,4.9,22.0,9.2,5.0
2024,1,9,15,1.44,4.6,22.0,9.2,11.0
2024,1,9,16,1.48,4.8,0.0,9.9,358.0
2024,1,9,17,1.64,4.8,22.0,10.2,5.0
2024,1,9,18,1.64,5.0,11.0,9.9,10.0
2024,1,9,19,1.92,5.3,22.0,10.0,2.0
2024,1,9,20,1.72,5.2,11.0,9.4,3.0
2024,1,9,21,1.61,5.0,22.0,8.7,6.0
2024,1,9,22,1.41,4.9,11.0,8.0,4.0
2024,1,9,23,1.31,4.7,11.0,8.8,6.0
2024,1,10,0,1.27,4.6,22.0,8.6,7.0
2024,1,10,1,1.27,4.6,11.0,9.0,3.0
2024,1,10,2,1.24,4.4,11.0,9.9,7.0
2024,1,10,3,1.29,4.4,33.0,10.5,16.0
2024,1,10,4,1.64,4.9,22.0,11.8,356.0
2024,1,10,5,1.91,5.1,22.0,11.4,7.0
2024,1,10,6,2.15,5.2,11.0,11.9,4.0
2024,1,10,7,2.27,5.4,11.0,11.9,6.0
2024,1,10,8,2.47,5.7,22.0,12.1,11.0
2024,1,10,9,2.39,5.7,33.0,12.1,27.0
2024,1,10,10,2.54,5.6,22.0,12.1,21.0
2024,1,10,11,2.43,5.4,22.0,13.3,20.0
2024,1,10,12,2.9,5.7,33.0,14.0,21.0
2024,1,10,13,3.04,5.7,33.0,14.6,29.0
2024,1,10,14,2.74,5.5,33.0,14.2,32.0
2024,1,10,15,2.55,5.5,22.0,13.6,30.0
2024,1,10,16,2.49,5.6,22.0,13.5,25.0
2024,1,10,17,2.42,5.1,22.0,14.0,28.0
2024,1,10,18,2.25,5.2,22.0,14.2,25.0
2024,1,10,19,2.83,5.8,22.0,13.1,23.0
2024,1,10,20,2.68,5.5,22.0,12.7,27.0
2024,1,10,21,2.7,5.8,22.0,12.9,25.0
2024,1,10,22,2.41,5.4,22.0,12.6,25.0
2024,1,10,23,3.0,5.7,33.0,13.2,34.0
2024,1,11,0,2.96,5.8,22.0,14.9,30.0
2024,1,11,1,2.51,5.3,33.0,15.2,30.0
2024,1,11,2,2.93,5.7,22.0,15.6,33.0
2024,1,11,3,2.55,5.2,22.0,15.4,33.0
2024,1,11,4,2.57,5.4,22.0,14.1,34.0
2024,1,11,5,2.74,5.4,33.0,14.8,41.0
2024,1,11,6,2.63,5.6,22.0,13.6,33.0
2024,1,11,7,2.82,5.7,22.0,13.9,33.0
2024,1,11,8,2.63,5.8,11.0,13.0,22.0
2024,1,11,9,2.84,5.7,33.0,13.8,33.0
2024,1,11,10,2.21,5.2,33.0,11.8,36.0
2024,1,11,11,2.49,5.3,33.0,10.3,35.0
2024,1,11,12,2.0,5.2,22.0,10.0,24.0
2024,1,11,13,2.01,4.8,33.0,11.5,14.0
2024,1,11,14,1.95,4.7,33.0,11.8,23.0
2024,1,11,15,2.14,5.2,33.0,11.1,26.0
2024,1,11,16,1.95,4.9,33.0,11.2,27.0
2024,1,11,17,1.79,4.9,11.0,11.2,28.0
2024,1,11,18,1.86,5.0,11.0,11.0,24.0
2024,1,11,19,1.79,5.2,11.0,9.7,28.0
2024,1,11,20,1.64,5.4,22.0,8.1,41.0
2024,1,11,21,1.5,5.0,11.0,7.6,39.0
2024,1,11,22,1.38,5.1,33.0,6.4,41.0
2024,1,11,23,1.54,5.2,33.0,6.4,38.0
2024,1,12,0,1.27,5.0,22.0,5.3,38.0
2024,1,12,1,1.07,4.7,22.0,5.8,30.0
2024,1,12,2,0.98,4.7,11.0,5.3,26.0
2024,1,12,3,1.03,4.9,11.0,6.3,28.0
2024,1,12,4,0.93,4.7,22.0,5.8,41.0
2024,1,12,5,0.88,4.5,22.0,5.8,42.0
2024,1,12,6,0.95,4.8,22.0,5.4,53.0
2024,1,12,7,0.88,4.7,22.0,5.7,50.0
2024,1,12,8,0.87,4.5,33.0,5.2,53.0
2024,1,12,9,1.07,4.6,22.0,6.0,42.0
2024,1,12,10,1.09,4.8,33.0,6.0,38.0
2024,1,12,11,1.11,4.5,33.0,5.8,36.0
2024,1,12,12,1.17,4.4,33.0,6.1,27.0
2024,1,12,13,1.03,4.5,11.0,6.5,359.0
2024,1,12,14,0.92,4.2,22.0,6.4,356.0
2024,1,12,15,0.91,4.3,11.0,6.8,9.0
2024,1,12,16,1.03,4.1,22.0,7.5,17.0
2024,1,12,17,1.06,4.4,33.0,8.2,14.0
2024,1,12,18,1.2,4.2,22.0,8.2,22.0
2024,1,12,19,1.3,4.5,22.0,7.6,31.0
2024,1,12,20,1.28,4.9,33.0,6.8,38.0
2024,1,12,21,1.22,4.9,33.0,5.9,41.0
2024,1,12,22,1.02,4.7,33.0,5.2,41.0
2024,1,12,23,0.96,4.7,45.0,3.6,47.0
2024,1,13,0,1.05,4.8,33.0,3.5,65.0
2024,1,13,1,0.91,4.7,45.0,3.8,49.0
2024,1,13,2,0.92,4.5,33.0,4.6,52.0
2024,1,13,3,0.76,4.5,33.0,4.7,41.0
2024,1,13,4,0.72,4.2,22.0,4.1,47.0
2024,1,13,5,0.82,4.4,22.0,4.9,57.0
2024,1,13,6,0.79,4.4,22.0,6.4,36.0
2024,1,13,7,0.95,4.5,22.0,7.2,36.0
2024,1,13,8,0.89,4.4,22.0,6.9,36.0
2024,1,13,9,1.0,4.6,22.0,6.8,32.0
2024,1,13,10,1.18,4.8,11.0,6.1,28.0
2024,1,13,11,1.21,4.7,11.0,6.7,13.0
2024,1,13,12,1.26,4.5,22.0,6.6,12.0
2024,1,13,13,1.67,5.0,22.0,8.3,10.0
2024,1,13,14,1.77,4.7,22.0,9.8,4.0
2024,1,13,15,1.78,4.8,33.0,10.3,6.0
2024,1,13,16,1.96,5.1,22.0,10.3,3.0
2024,1,13,17,2.17,5.2,0.0,10.3,1.0
2024,1,13,18,2.1,5.1,11.0,10.0,8.0
2024,1,13,19,1.74,5.0,22.0,8.8,19.0
2024,1,13,20,2.09,5.7,22.0,6.6,23.0
2024,1,13,21,1.76,5.6,33.0,3.9,28.0
2024,1,13,22,1.78,5.7,33.0,2.1,89.0
2024,1,13,23,1.5,5.6,33.0,2.9,148.0
2024,1,14,0,1.36,5.3,33.0,2.7,155.0
2024,1,14,1,1.35,5.5,33.0,3.2,174.0
2024,1,14,2,1.11,5.1,33.0,4.0,165.0
2024,1,14,3,0.95,5.1,11.0,3.9,157.0
2024,1,14,4,0.94,5.2,45.0,3.9,158.0
2024,1,14,5,0.74,5.1,22.0,4.1,149.0
2024,1,14,6,0.86,5.4,22.0,4.3,154.0
2024,1,14,7,0.86,5.3,0.0,4.0,157.0
2024,1,14,8,0.86,5.3,348.0,3.8,152.0
2024,1,14,9,0.96,5.3,0.0,3.4,167.0
2024,1,14,10,0.92,5.1,33.0,3.1,187.0
2024,1,14,11,1.13,5.3,22.0,3.1,215.0
2024,1,14,12,0.96,5.0,11.0,2.8,215.0
2024,1,14,13,1.29,5.0,0.0,2.6,241.0
2024,1,14,14,1.27,5.1,11.0,1.2,297.0
2024,1,14,15,1.12,4.7,348.0,4.6,335.0
2024,1,14,16,1.12,4.7,348.0,3.7,332.0
2024,1,14,17,1.11,4.7,348.0,5.0,334.0
2024,1,14,18,1.06,4.7,0.0,4.4,352.0
2024,1,14,19,0.96,4.8,348.0,4.7,359.0
2024,1,14,20,0.94,4.7,0.0,5.3,11.0
2024,1,14,21,0.96,4.6,0.0,4.7,28.0
2024,1,14,22,0.84,4.5,11.0,3.8,43.0
2024,1,14,23,0.9,4.6,11.0,4.0,64.0
2024,1,15,0,0.84,4.4,22.0,3.9,42.0
2024,1,15,1,0.85,4.5,11.0,4.3,20.0
2024,1,15,2,1.01,4.6,22.0,4.9,23.0
2024,1,15,3,0.82,4.4,11.0,3.5,45.0
2024,1,15,4,0.82,4.4,11.0,3.5,50.0
2024,1,15,5,0.82,4.2,0.0,4.4,58.0
2024,1,15,6,0.88,4.3,22.0,5.2,47.0
2024,1,15,7,0.91,4.4,11.0,5.7,46.0
2024,1,15,8,0.98,4.3,11.0,6.5,42.0
2024,1,15,9,1.28,4.7,11.0,8.5,35.0
2024,1,15,10,1.87,4.9,22.0,12.9,25.0
2024,1,15,11,2.46,5.4,11.0,14.2,28.0
2024,1,15,12,3.57,6.1,22.0,14.7,10.0
2024,1,15,13,3.7,6.2,33.0,14.7,8.0
2024,1,15,14,3.77,6.3,11.0,15.4,3.0
2024,1,15,15,3.32,5.9,0.0,14.9,6.0
2024,1,15,16,3.59,6.3,0.0,15.5,9.0
2024,1,15,17,3.7,6.1,11.0,16.1,7.0
2024,1,15,18,3.69,6.6,348.0,15.8,18.0
2024,1,15,19,4.04,6.3,0.0,15.0,19.0
2024,1,15,20,4.21,6.9,0.0,14.7,17.0
2024,1,15,21,3.58,6.6,0.0,15.0,17.0
2024,1,15,22,3.55,6.4,11.0,15.1,18.0
2024,1,15,23,4.01,6.9,0.0,14.0,18.0
2024,1,16,0,3.79,6.8,0.0,13.1,14.0
2024,1,16,1,3.37,6.4,0.0,12.7,20.0
2024,1,16,2,3.32,6.4,11.0,13.8,23.0
2024,1,16,3,3.11,6.0,0.0,13.2,20.0
2024,1,16,4,3.28,6.3,0.0,11.4,22.0
2024,1,16,5,3.06,6.1,11.0,12.2,19.0
2024,1,16,6,2.65,5.9,0.0,12.3,17.0
2024,1,16,7,2.85,5.8,11.0,13.1,21.0
2024,1,16,8,2.83,6.0,0.0,13.2,18.0
2024,1,16,9,2.9,5.9,0.0,12.7,14.0
2024,1,16,10,3.01,6.1,0.0,12.6,15.0
2024,1,16,11,2.51,5.7,22.0,12.9,5.0
2024,1,16,12,3.29,6.2,11.0,12.9,7.0
2024,1,16,13,3.48,6.1,11.0,13.0,2.0
2024,1,16,14,3.4,6.1,11.0,13.5,3.0
2024,1,16,15,3.11,6.0,0.0,13.5,1.0
2024,1,16,16,3.17,6.1,0.0,13.7,3.0
2024,1,16,17,3.09,5.8,0.0,13.5,6.0
2024,1,16,18,2.65,5.6,11.0,12.8,10.0
2024,1,16,19,2.44,5.6,0.0,12.0,8.0
2024,1,16,20,2.42,5.4,0.0,11.2,8.0
2024,1,16,21,2.36,5.6,348.0,11.1,12.0
2024,1,16,22,2.38,5.8,0.0,9.6,17.0
2024,1,16,23,2.22,5.8,0.0,8.2,22.0
2024,1,17,0,2.23,5.9,11.0,8.1,33.0
2024,1,17,1,2.33,6.0,11.0,5.5,48.0
2024,1,17,2,2.22,5.7,22.0,5.3,58.0
2024,1,17,3,1.97,5.8,11.0,5.4,48.0
2024,1,17,4,2.06,5.8,11.0,6.1,32.0
2024,1,17,5,2.4,6.2,11.0,5.9,33.0
2024,1,17,6,2.0,5.8,0.0,4.1,47.0
2024,1,17,7,1.87,5.6,0.0,4.1,45.0
2024,1,17,8,1.72,5.9,11.0,4.1,43.0
2024,1,17,9,1.68,5.7,0.0,3.3,46.0
2024,1,17,10,1.77,5.9,348.0,4.0,35.0
2024,1,17,11,1.71,5.8,0.0,6.2,25.0
2024,1,17,12,1.86,5.5,11.0,7.7,9.0
2024,1,17,13,2.08,5.6,0.0,7.6,6.0
2024,1,17,14,1.86,5.4,0.0,8.3,16.0
2024,1,17,15,2.09,5.4,22.0,8.8,17.0
2024,1,17,16,2.02,5.4,22.0,8.7,12.0
2024,1,17,17,2.12,5.6,11.0,8.0,10.0
2024,1,17,18,1.62,5.1,22.0,7.3,10.0
2024,1,17,19,1.67,5.2,11.0,7.2,21.0
2024,1,17,20,1.33,5.0,22.0,6.7,22.0
2024,1,17,21,1.23,5.0,11.0,5.6,32.0
2024,1,17,22,1.22,5.1,11.0,3.8,342.0
2024,1,17,23,1.11,5.1,22.0,3.2,346.0
2024,1,18,0,1.2,5.3,0.0,3.3,336.0
2024,1,18,1,1.14,5.0,11.0,3.2,335.0
2024,1,18,2,1.07,5.1,11.0,3.5,316.0
2024,1,18,3,1.16,5.1,22.0,1.2,358.0
2024,1,18,4,1.21,5.2,22.0,2.1,333.0
2024,1,18,5,1.06,5.0,22.0,2.1,138.0
2024,1,18,6,0.9,5.0,33.0,1.3,142.0
2024,1,18,8,0.91,4.8,33.0,3.4,4.0
2024,1,18,9,0.82,4.9,22.0,3.0,24.0
2024,1,18,10,0.73,4.5,11.0,5.7,3.0
2024,1,18,11,0.73,4.2,22.0,7.2,9.0
2024,1,18,12,0.83,4.1,33.0,6.6,12.0
2024,1,18,13,0.92,4.1,33.0,7.2,11.0
2024,1,18,14,1.08,4.3,33.0,7.5,9.0
2024,1,18,15,1.07,4.3,22.0,8.2,9.0
2024,1,18,16,1.25,4.3,33.0,7.6,19.0
2024,1,18,17,1.14,4.5,33.0,7.1,23.0
2024,1,18,18,1.2,4.4,33.0,7.3,19.0
2024,1,18,19,1.15,4.6,33.0,7.2,29.0
2024,1,18,20,0.93,4.3,45.0,6.1,32.0
2024,1,18,21,0.91,4.5,33.0,5.4,38.0
2024,1,18,22,0.74,4.2,11.0,5.4,22.0
2024,1,18,23,0.76,4.3,33.0,6.9,19.0
2024,1,19,0,1.03,4.4,22.0,7.6,27.0
2024,1,19,1,1.03,4.5,45.0,7.4,21.0
2024,1,19,2,1.17,4.7,33.0,7.6,26.0
2024,1,19,3,1.36,4.9,33.0,7.0,40.0
2024,1,19,4,1.66,5.3,22.0,6.7,43.0
2024,1,19,5,1.42,4.9,22.0,7.8,31.0
2024,1,19,6,1.49,4.9,33.0,8.5,51.0
2024,1,19,7,1.47,4.9,11.0,9.1,31.0
2024,1,19,8,1.51,4.8,22.0,9.2,39.0
2024,1,19,9,1.61,5.0,11.0,9.0,21.0
2024,1,19,10,1.67,4.9,11.0,9.8,5.0
2024,1,19,11,1.85,5.0,22.0,9.5,11.0
2024,1,19,12,2.01,5.3,11.0,10.5,2.0
2024,1,19,13,2.03,5.6,22.0,9.6,21.0
2024,1,19,14,1.94,5.3,22.0,9.7,21.0
2024,1,19,15,2.04,5.4,22.0,10.2,8.0
2024,1,19,16,2.47,5.7,22.0,10.0,22.0
2024,1,19,17,2.12,5.5,22.0,10.4,6.0
2024,1,19,18,1.93,5.3,33.0,9.5,21.0
2024,1,19,19,2.01,5.5,22.0,8.4,12.0
2024,1,19,20,1.82,5.2,22.0,8.7,8.0
2024,1,19,21,1.7,5.3,11.0,8.9,358.0
2024,1,19,22,1.81,5.2,11.0,9.0,3.0
2024,1,19,23,1.79,5.4,22.0,8.9,18.0
2024,1,20,0,1.81,5.1,0.0,8.3,17.0
2024,1,20,1,1.76,5.3,11.0,7.9,24.0
2024,1,20,2,1.68,5.4,11.0,7.9,30.0
2024,1,20,3,1.66,5.4,11.0,6.1,45.0
2024,1,20,4,1.71,5.7,22.0,5.2,23.0
2024,1,20,5,1.85,5.8,22.0,4.6,25.0
2024,1,20,6,1.67,5.8,22.0,4.8,8.0
2024,1,20,7,1.91,5.8,22.0,7.2,339.0
2024,1,20,8,1.66,5.3,22.0,7.1,345.0
2024,1,20,9,1.47,4.9,11.0,7.9,343.0
2024,1,20,10,1.49,4.8,22.0,8.2,346.0
2024,1,20,11,1.4,4.5,0.0,8.8,347.0
2024,1,20,12,1.49,4.8,0.0,8.7,354.0
2024,1,20,13,1.4,4.7,22.0,9.0,10.0
2024,1,20,14,1.54,4.9,11.0,8.7,3.0
2024,1,20,15,1.79,5.1,22.0,9.2,6.0
2024,1,20,16,1.5,4.6,22.0,10.3,2.0
2024,1,20,17,1.64,4.7,22.0,10.4,22.0
2024,1,20,18,1.87,5.0,33.0,10.2,20.0
2024,1,20,19,2.06,5.2,22.0,11.0,15.0
2024,1,20,20,1.98,5.2,22.0,10.7,21.0
2024,1,20,21,1.89,4.9,11.0,10.4,21.0
2024,1,20,22,1.91,5.1,11.0,11.3,19.0
2024,1,20,23,1.98,5.3,22.0,12.6,26.0
2024,1,21,0,2.24,5.4,0.0,12.4,19.0
2024,1,21,1,2.65,5.7,22.0,13.6,17.0
